Date,Vehicle body type,Motive power,Count
2023-05-01,Heavy Vehicle,Petrol Or Lpg Option,4
2023-05-01,Light Vehicle,CNG,2
2023-05-01,Light Vehicle,Diesel,62634
2023-05-01,Light Vehicle,Diesel Or Lpg Option,14
2023-05-01,Light Vehicle,Electric,4346
2023-05-01,Light Vehicle,Hybrid,8669
2023-05-01,Light Vehicle,Hydrogen Fuel Cell Electric,22
2023-05-01,Light Vehicle,LPG,602
2023-05-01,Light Vehicle,Other,106
2023-05-01,Light Vehicle,Petrol,235376
2023-05-01,Light Vehicle,Petrol Or Lpg Option,680
2023-05-01,Light Vehicle,Plug-in Hybrid Electric,829
2023-05-01,Light Vehicle,Solar,1
2023-05-01,Light Vehicle,Steam,1
2023-05-01,Light Vehicle,,219
2023-05-01,Motorcycle,Diesel,3
2023-05-01,Motorcycle,Electric,173
2023-05-01,Motorcycle,Other,3
2023-05-01,Motorcycle,Petrol,12110
2023-05-01,Motorcycle,Solar,1
2023-05-01,Motorcycle,,5
2023-05-01,Trailer,,40073
2023-05-01,Heavy Vehicle,Petrol Or Lpg Option,4
2023-05-01,Light Vehicle,CNG,2
2023-05-01,Light Vehicle,Diesel,62634
2023-05-01,Light Vehicle,Diesel Or Lpg Option,14
2023-05-01,Light Vehicle,Electric,4346
2023-05-01,Light Vehicle,Hybrid,8669
2023-05-01,Light Vehicle,Hydrogen Fuel Cell Electric,22
2023-05-01,Light Vehicle,LPG,602
2023-05-01,Light Vehicle,Other,106
2023-05-01,Light Vehicle,Petrol,235376
2023-05-01,Light Vehicle,Petrol Or Lpg Option,680
2023-05-01,Light Vehicle,Plug-in Hybrid Electric,829
2023-05-01,Light Vehicle,Solar,1
2023-05-01,Light Vehicle,Steam,1
2023-05-01,Light Vehicle,,219
2023-05-01,Motorcycle,Diesel,3
2023-05-01,Motorcycle,Electric,173
2023-05-01,Motorcycle,Other,3
2023-05-01,Motorcycle,Petrol,12110
2023-05-01,Motorcycle,Solar,1
2023-05-01,Motorcycle,,5
2023-05-01,Trailer,,40073
2023-06-01,Heavy Vehicle,CNG,70
2023-06-01,Heavy Vehicle,Diesel,3453
2023-06-01,Heavy Vehicle,Electric,20
2023-06-01,Heavy Vehicle,LPG,10
2023-06-01,Heavy Vehicle,Petrol,39
2023-06-01,Heavy Vehicle,CNG,70
2023-06-01,Heavy Vehicle,Diesel,3453
2023-06-01,Heavy Vehicle,Electric,20
2023-06-01,Heavy Vehicle,LPG,10
2023-06-01,Heavy Vehicle,Petrol,39
2023-06-01,Heavy Vehicle,CNG,70
2023-06-01,Heavy Vehicle,Diesel,2753
2023-06-01,Heavy Vehicle,Electric,20
2023-06-01,Heavy Vehicle,LPG,11
2023-06-01,Heavy Vehicle,Petrol,27
2023-06-01,Heavy Vehicle,Petrol Or Lpg Option,4
2023-06-01,Light Vehicle,CNG,2
2023-06-01,Light Vehicle,Diesel,63268
2023-06-01,Light Vehicle,Diesel Or Lpg Option,14
2023-06-01,Light Vehicle,Electric,4711
2023-06-01,Light Vehicle,Hybrid,8812
2023-06-01,Light Vehicle,Hydrogen Fuel Cell Electric,22
2023-06-01,Light Vehicle,LPG,603
2023-06-01,Light Vehicle,Other,104
2023-06-01,Light Vehicle,Petrol,234790
2023-06-01,Light Vehicle,Petrol Or Lpg Option,658
2023-06-01,Light Vehicle,Plug-in Hybrid Electric,846
2023-06-01,Light Vehicle,Solar,1
2023-06-01,Light Vehicle,Steam,1
2023-06-01,Light Vehicle,,225
2023-06-01,Motorcycle,Diesel,3
2023-06-01,Motorcycle,Electric,178
2023-06-01,Motorcycle,Other,3
2023-06-01,Motorcycle,Petrol,11476
2023-06-01,Motorcycle,Solar,1
2023-06-01,Motorcycle,,6
2023-06-01,Trailer,,39855
2023-07-01,Heavy Vehicle,CNG,70
2023-07-01,Heavy Vehicle,Diesel,2735
2023-07-01,Heavy Vehicle,Electric,21
2023-07-01,Heavy Vehicle,LPG,11
2023-07-01,Heavy Vehicle,Petrol,27
2023-07-01,Heavy Vehicle,Petrol Or Lpg Option,4
2023-07-01,Light Vehicle,CNG,2
2023-07-01,Light Vehicle,Diesel,63398
2023-07-01,Light Vehicle,Diesel Or Lpg Option,14
2023-07-01,Light Vehicle,Electric,4988
2023-07-01,Light Vehicle,Hybrid,8971
2023-07-01,Light Vehicle,Hydrogen Fuel Cell Electric,22
2023-07-01,Light Vehicle,LPG,592
2023-07-01,Light Vehicle,Other,102
2023-07-01,Light Vehicle,Petrol,235132
2023-07-01,Light Vehicle,Petrol Or Lpg Option,653
2023-07-01,Light Vehicle,Plug-in Hybrid Electric,863
2023-07-01,Light Vehicle,Solar,1
2023-07-01,Light Vehicle,Steam,1
2023-07-01,Light Vehicle,,227
2023-07-01,Motorcycle,Diesel,3
2023-07-01,Motorcycle,Electric,178
2023-07-01,Motorcycle,Other,2
2023-07-01,Motorcycle,Petrol,11324
2023-07-01,Motorcycle,Solar,1
2023-07-01,Motorcycle,,6
2023-07-01,Trailer,,39620
2015-01-01T00:00:00.000,Light Vehicle,,39579
2015-01-01T00:00:00.000,Light Vehicle,Plug-in Hybrid Electric,12
2015-01-01T00:00:00.000,Light Vehicle,Petrol Or Lpg Option,2410
2015-01-01T00:00:00.000,Light Vehicle,Petrol Or Cng Option,16
2015-01-01T00:00:00.000,Light Vehicle,Petrol,218448
2015-01-01T00:00:00.000,Light Vehicle,Other,176
2015-01-01T00:00:00.000,Light Vehicle,LPG,1355
2015-01-01T00:00:00.000,Light Vehicle,Hybrid,1404
2015-01-01T00:00:00.000,Light Vehicle,Electric,122
2015-01-01T00:00:00.000,Light Vehicle,Diesel Or Lpg Option,24
2015-01-01T00:00:00.000,Light Vehicle,Diesel,35435
2015-01-01T00:00:00.000,Light Vehicle,CNG,8
2015-01-01T00:00:00.000,Motorcycle,,16
2015-01-01T00:00:00.000,Motorcycle,Petrol,12568
2015-01-01T00:00:00.000,Motorcycle,Electric,6
2015-01-01T00:00:00.000,Heavy Vehicle,,398
2015-01-01T00:00:00.000,Heavy Vehicle,Petrol Or Lpg Option,7
2015-01-01T00:00:00.000,Heavy Vehicle,Petrol,22
2015-01-01T00:00:00.000,Heavy Vehicle,Diesel,2439
2015-01-01T00:00:00.000,Heavy Vehicle,CNG,73
2015-01-01T00:00:00.000,Heavy Vehicle,Electric,5
2015-01-01T00:00:00.000,Motorcycle,Other,3
2015-01-01T00:00:00.000,Heavy Vehicle,LPG,3
2015-01-01T00:00:00.000,Heavy Vehicle,Hybrid,3
2015-01-01T00:00:00.000,Motorcycle,Diesel,2
2015-01-01T00:00:00.000,Light Vehicle,,39579
2015-01-01T00:00:00.000,Light Vehicle,Plug-in Hybrid Electric,12
2015-01-01T00:00:00.000,Light Vehicle,Petrol Or Lpg Option,2410
2015-01-01T00:00:00.000,Light Vehicle,Petrol Or Cng Option,16
2015-01-01T00:00:00.000,Light Vehicle,Petrol,218448
2015-01-01T00:00:00.000,Light Vehicle,Other,176
2015-01-01T00:00:00.000,Light Vehicle,LPG,1355
2015-01-01T00:00:00.000,Light Vehicle,Hybrid,1404
2015-01-01T00:00:00.000,Light Vehicle,Electric,122
2015-01-01T00:00:00.000,Light Vehicle,Diesel Or Lpg Option,24
2015-01-01T00:00:00.000,Light Vehicle,Diesel,35435
2015-01-01T00:00:00.000,Light Vehicle,CNG,8
2015-01-01T00:00:00.000,Motorcycle,,16
2015-01-01T00:00:00.000,Motorcycle,Petrol,12568
2015-01-01T00:00:00.000,Motorcycle,Electric,6
2015-01-01T00:00:00.000,Heavy Vehicle,,398
2015-01-01T00:00:00.000,Heavy Vehicle,Petrol Or Lpg Option,7
2015-01-01T00:00:00.000,Heavy Vehicle,Petrol,22
2015-01-01T00:00:00.000,Heavy Vehicle,Diesel,2439
2015-01-01T00:00:00.000,Heavy Vehicle,CNG,73
2015-01-01T00:00:00.000,Heavy Vehicle,Electric,5
2015-01-01T00:00:00.000,Motorcycle,Other,3
2015-01-01T00:00:00.000,Heavy Vehicle,LPG,3
2015-01-01T00:00:00.000,Heavy Vehicle,Hybrid,3
2015-01-01T00:00:00.000,Motorcycle,Diesel,2
2015-02-01T00:00:00.000,Motorcycle,,16
2015-02-01T00:00:00.000,Light Vehicle,Plug-in Hybrid Electric,12
2015-02-01T00:00:00.000,Light Vehicle,Petrol Or Lpg Option,2347
